race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
1320230101010001,iwakitaira,2023-01-01,1,◎1 ○3 ▲6 △5 ×2 注4,"1-5  1,220円(4)","1-5-2  2,480円(9)",1,菊池 翔  福,島,28,119,A1,逃,3.92,88.23,1,11.8,捲,nan,立直し捲る
1320230101010001,iwakitaira,2023-01-01,1,◎1 ○3 ▲6 △5 ×2 注4,"1-5  1,220円(4)","1-5-2  2,480円(9)",2,佐山 俊樹  埼,玉,32,97,A1,両,3.92,86.39,3,12.0,nan,１/４車輪,番手流込み
1320230101010001,iwakitaira,2023-01-01,1,◎1 ○3 ▲6 △5 ×2 注4,"1-5  1,220円(4)","1-5-2  2,480円(9)",3,及川 裕奨  岩,手,41,86,A2,両,3.85,85.88,4,11.8,nan,３/４車身,離れ直線外
1320230101010001,iwakitaira,2023-01-01,1,◎1 ○3 ▲6 △5 ×2 注4,"1-5  1,220円(4)","1-5-2  2,480円(9)",4,瀧野 勝太  群,馬,36,92,A2,追,3.92,82.70,5,11.8,nan,１/４車輪,口空割込れ
1320230101010001,iwakitaira,2023-01-01,1,◎1 ○3 ▲6 △5 ×2 注4,"1-5  1,220円(4)","1-5-2  2,480円(9)",5,鈴木 雄一朗  東,京,38,94,A1,逃,3.93,85.66,2,12.1,逃,３車身,内抜先行し
1320230101010001,iwakitaira,2023-01-01,1,◎1 ○3 ▲6 △5 ×2 注4,"1-5  1,220円(4)","1-5-2  2,480円(9)",6,柴田 健,神奈川,52,71,A2,追,3.92,81.66,6,11.8,nan,２車身,前が離れて
1320230101010002,iwakitaira,2023-01-01,2,○5 ◎1 △4 ×3 注2 ▲6,3-2  240円(1),3-2-1  490円(1),1,遠藤 勝行  静,岡,48,73,A1,追,3.92,88.90,3,12.1,nan,３/４車身,３番手飛付
1320230101010002,iwakitaira,2023-01-01,2,○5 ◎1 △4 ×3 注2 ▲6,3-2  240円(1),3-2-1  490円(1),2,石川 恭規  福,島,45,93,A2,追,3.92,84.77,2,12.2,ク,１/２車身,番手で続き
1320230101010002,iwakitaira,2023-01-01,2,○5 ◎1 △4 ×3 注2 ▲6,3-2  240円(1),3-2-1  490円(1),3,緑川 修平  福,島,39,95,A1,逃,3.93,85.19,1,12.2,逃,nan,ＨＳ逃切り
1320230101010002,iwakitaira,2023-01-01,2,○5 ◎1 △4 ×3 注2 ▲6,3-2  240円(1),3-2-1  490円(1),4,石川 英昭  静,岡,51,75,A2,追,3.92,83.81,5,12.4,nan,１車身１/２,掬れ続けず
1320230101010002,iwakitaira,2023-01-01,2,○5 ◎1 △4 ×3 注2 ▲6,3-2  240円(1),3-2-1  490円(1),5,石田 拓真  愛,知,21,119,A2,逃,3.85,87.33,欠,nan,nan,nan,当日欠場
1320230101010002,iwakitaira,2023-01-01,2,○5 ◎1 △4 ×3 注2 ▲6,3-2  240円(1),3-2-1  490円(1),6,玉木 英典,北海道,37,95,A2,追,3.92,70.26,4,12.2,nan,３車身,前に続けず
1320230101010003,iwakitaira,2023-01-01,3,注6 ◎1 ○2 ▲7 △4 ×5,7-2  420円(2),7-2-4  940円(2),1,乾 庄平  滋,賀,36,95,A2,追,3.92,85.53,6,11.8,nan,１/４車輪,目標が後手
1320230101010003,iwakitaira,2023-01-01,3,注6 ◎1 ○2 ▲7 △4 ×5,7-2  420円(2),7-2-4  940円(2),2,土田 武志  茨,城,23,115,A2,逃,3.92,88.04,2,12.2,逃,１/４車輪,打鐘逃残り
1320230101010003,iwakitaira,2023-01-01,3,注6 ◎1 ○2 ▲7 △4 ×5,7-2  420円(2),7-2-4  940円(2),3,赤塚 悠人  山,形,36,97,A2,両,3.92,83.65,4,11.9,nan,１/４車輪,前不発外踏
1320230101010003,iwakitaira,2023-01-01,3,注6 ◎1 ○2 ▲7 △4 ×5,7-2  420円(2),7-2-4  940円(2),4,渡邊 恭典  栃,木,49,75,A2,追,3.85,82.25,3,12.2,nan,１車身,先行３番手
1320230101010003,iwakitaira,2023-01-01,3,注6 ◎1 ○2 ▲7 △4 ×5,7-2  420円(2),7-2-4  940円(2),5,荻原 寿嗣,北海道,28,119,A2,逃,3.85,82.92,5,11.9,nan,１車輪,中団動けず
