race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
2120251030030001,yahiko,2025-10-30,1,○3 ◎1 ×2 △4 ▲7 注6,3-1  230円(2),3-1-2  440円(2),1,山本 隼人  大,阪,27,111,A1,追,3.92,88.56,2,11.8,ク,１/４車輪,nan
2120251030030001,yahiko,2025-10-30,1,○3 ◎1 ×2 △4 ▲7 注6,3-1  230円(2),3-1-2  440円(2),2,江本 博明  千,葉,45,90,A1,追,3.92,85.86,3,11.8,nan,３/４車身,nan
2120251030030001,yahiko,2025-10-30,1,○3 ◎1 ×2 △4 ▲7 注6,3-1  230円(2),3-1-2  440円(2),3,大谷 靖茂  愛,知,43,93,A1,逃,3.92,85.61,1,12.0,逃,nan,nan
2120251030030001,yahiko,2025-10-30,1,○3 ◎1 ×2 △4 ▲7 注6,3-1  230円(2),3-1-2  440円(2),4,山崎 充央  東,京,51,79,A2,追,3.85,83.66,5,12.1,nan,２車身,nan
2120251030030001,yahiko,2025-10-30,1,○3 ◎1 ×2 △4 ▲7 注6,3-1  230円(2),3-1-2  440円(2),5,関 敬  栃,木,49,81,A2,追,3.92,80.60,6,12.2,nan,２車身,nan
2120251030030001,yahiko,2025-10-30,1,○3 ◎1 ×2 △4 ▲7 注6,3-1  230円(2),3-1-2  440円(2),6,旭 啓介,神奈川,46,86,A2,追,3.92,80.25,4,11.9,nan,６車身,nan
2120251030030001,yahiko,2025-10-30,1,○3 ◎1 ×2 △4 ▲7 注6,3-1  230円(2),3-1-2  440円(2),7,田村 純一  福,島,38,92,A2,両,3.92,77.25,7,13.7,nan,大差,nan
2120251030030002,yahiko,2025-10-30,2,◎1 ○2 注3 △4 ×6 ▲5,"6-2  3,600円(11)","6-2-5  11,000円(32)",1,神山 尚  栃,木,34,109,A2,両,3.92,87.90,7,12.2,nan,１車身１/２,nan
2120251030030002,yahiko,2025-10-30,2,◎1 ○2 注3 △4 ×6 ▲5,"6-2  3,600円(11)","6-2-5  11,000円(32)",2,松田 優一  茨,城,40,90,A2,追,3.92,87.87,2,11.8,差,１車輪,nan
2120251030030002,yahiko,2025-10-30,2,◎1 ○2 注3 △4 ×6 ▲5,"6-2  3,600円(11)","6-2-5  11,000円(32)",3,本田 拓也  新,潟,42,92,A2,追,3.92,82.33,5,11.9,nan,３/４車輪,nan
2120251030030002,yahiko,2025-10-30,2,◎1 ○2 注3 △4 ×6 ▲5,"6-2  3,600円(11)","6-2-5  11,000円(32)",4,中西 勇  福,岡,33,125,A2,逃,3.92,81.80,6,12.3,nan,１/８車輪,nan
2120251030030002,yahiko,2025-10-30,2,◎1 ○2 注3 △4 ×6 ▲5,"6-2  3,600円(11)","6-2-5  11,000円(32)",5,金田 健一郎  大,阪,58,60,A2,追,3.92,80.66,3,12.0,nan,１/２車身,nan
2120251030030002,yahiko,2025-10-30,2,◎1 ○2 注3 △4 ×6 ▲5,"6-2  3,600円(11)","6-2-5  11,000円(32)",6,松田 直也  大,分,41,92,A2,両,3.93,80.30,1,12.0,差,nan,nan
2120251030030002,yahiko,2025-10-30,2,◎1 ○2 注3 △4 ×6 ▲5,"6-2  3,600円(11)","6-2-5  11,000円(32)",7,及川 裕奨  岩,手,44,86,A2,追,3.92,79.37,4,11.8,nan,１/２車身,nan
2120251030030003,yahiko,2025-10-30,3,○3 ◎1 △6 ×2 注4 ▲5,3-1  450円(2),3-1-6  920円(3),1,鈴木 良太  静,岡,48,86,A1,追,3.93,88.80,2,12.2,ク,２車身,nan
2120251030030003,yahiko,2025-10-30,3,○3 ◎1 △6 ×2 注4 ▲5,3-1  450円(2),3-1-6  920円(3),2,前田 義和,鹿児島,41,94,A1,両,3.92,88.10,5,12.7,nan,３/４車身,nan
2120251030030003,yahiko,2025-10-30,3,○3 ◎1 △6 ×2 注4 ▲5,3-1  450円(2),3-1-6  920円(3),3,金田 涼馬,神奈川,27,119,A1,逃,3.92,85.82,1,12.1,逃,nan,nan
2120251030030003,yahiko,2025-10-30,3,○3 ◎1 △6 ×2 注4 ▲5,3-1  450円(2),3-1-6  920円(3),4,四元 慎也  宮,崎,50,77,A2,追,3.92,83.73,4,12.4,nan,６車身,nan
2120251030030003,yahiko,2025-10-30,3,○3 ◎1 △6 ×2 注4 ▲5,3-1  450円(2),3-1-6  920円(3),5,土井 勲  岡,山,51,82,A2,追,3.92,81.29,6,13.4,nan,大差,nan
2120251030030003,yahiko,2025-10-30,3,○3 ◎1 △6 ×2 注4 ▲5,3-1  450円(2),3-1-6  920円(3),6,梅原 大治  静,岡,48,81,A1,追,3.85,80.76,3,12.3,nan,３車身,nan
2120251030030003,yahiko,2025-10-30,3,○3 ◎1 △6 ×2 注4 ▲5,3-1  450円(2),3-1-6  920円(3),7,梶應 弘樹  愛,媛,60,57,A2,追,3.93,75.61,7,nan,nan,大差,nan
2120251030030004,yahiko,2025-10-30,4,△6 ◎1 ○2 ▲4 ×5 注3,"1-3  1,670円(6)","1-3-7  9,520円(32)",1,小田倉 勇二  埼,玉,41,91,A1,両,3.92,92.16,1,12.4,差,nan,nan
2120251030030004,yahiko,2025-10-30,4,△6 ◎1 ○2 ▲4 ×5 注3,"1-3  1,670円(6)","1-3-7  9,520円(32)",2,杉山 悠也  秋,田,42,89,A1,追,3.92,90.00,4,12.3,nan,１/２車輪,nan
2120251030030004,yahiko,2025-10-30,4,△6 ◎1 ○2 ▲4 ×5 注3,"1-3  1,670円(6)","1-3-7  9,520円(32)",3,神尾 敬冬  静,岡,25,123,A2,逃,3.92,88.94,2,12.6,逃,１/２車身,nan
2120251030030004,yahiko,2025-10-30,4,△6 ◎1 ○2 ▲4 ×5 注3,"1-3  1,670円(6)","1-3-7  9,520円(32)",4,高田 真幸  福,岡,48,83,A2,両,3.92,84.80,7,12.6,nan,１車身１/２,nan
2120251030030004,yahiko,2025-10-30,4,△6 ◎1 ○2 ▲4 ×5 注3,"1-3  1,670円(6)","1-3-7  9,520円(32)",5,川野 正芳  大,分,48,80,A2,追,3.92,83.96,6,12.2,nan,４車身,nan
2120251030030004,yahiko,2025-10-30,4,△6 ◎1 ○2 ▲4 ×5 注3,"1-3  1,670円(6)","1-3-7  9,520円(32)",6,馬場 和広  埼,玉,34,98,A2,両,3.92,83.96,5,12.7,nan,３/４車輪,nan
2120251030030004,yahiko,2025-10-30,4,△6 ◎1 ○2 ▲4 ×5 注3,"1-3  1,670円(6)","1-3-7  9,520円(32)",7,水谷 将司  愛,知,38,105,A2,追,3.92,83.50,3,12.4,nan,３/４車身,nan
