race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose,wide,mark,mark_num,win_rate_4m,top2_rate_4m,top3_rate_4m,nige_4m,maku_4m,close_time
2220260307020001,maebashi,2026-03-08,1,×4 △1 ◎7 ○3 注5 ▲2,3-5  260円(1),"3-5-1  1,730円(6)",1=3=5  680円(3),1,山本 宏明  徳,島,47,83,A3,追,3.92,68.5,3,10.3,,３車身,前団のハコ,1=3  200円(3)  1=5  510円(7)  3=5  150円(1) / 1=3  200円(3)  1=5  510円(7)  3=5  150円(1),△,4.0,7.1,14.2,21.4,0.0,0.0,
2220260307020001,maebashi,2026-03-08,1,×4 △1 ◎7 ○3 注5 ▲2,3-5  260円(1),"3-5-1  1,730円(6)",1=3=5  680円(3),2,高木 隆弘,神奈川,56,64,A3,追,3.83,65.68,4,10.1,,３/４車身,３番手離れ,1=3  200円(3)  1=5  510円(7)  3=5  150円(1) / 1=3  200円(3)  1=5  510円(7)  3=5  150円(1),注,2.0,0.0,6.2,25.0,0.0,0.0,
2220260307020001,maebashi,2026-03-08,1,×4 △1 ◎7 ○3 注5 ▲2,3-5  260円(1),"3-5-1  1,730円(6)",1=3=5  680円(3),3,松本 一成  新,潟,50,77,A3,逃,3.92,68.93,1,9.8,捲,,大楽の捲り,1=3  200円(3)  1=5  510円(7)  3=5  150円(1) / 1=3  200円(3)  1=5  510円(7)  3=5  150円(1),◎,6.0,13.7,31.0,41.3,3.0,3.0,
2220260307020001,maebashi,2026-03-08,1,×4 △1 ◎7 ○3 注5 ▲2,3-5  260円(1),"3-5-1  1,730円(6)",1=3=5  680円(3),4,富永 昌久  佐,賀,45,88,A3,追,3.92,68.12,6,10.7,,３/４車身,先行捲られ,1=3  200円(3)  1=5  510円(7)  3=5  150円(1) / 1=3  200円(3)  1=5  510円(7)  3=5  150円(1),×,1.0,4.1,12.5,33.3,0.0,1.0,
2220260307020001,maebashi,2026-03-08,1,×4 △1 ◎7 ○3 注5 ▲2,3-5  260円(1),"3-5-1  1,730円(6)",1=3=5  680円(3),5,落合 豊  茨,城,54,69,A3,追,3.77,65.87,2,9.9,ク,３車身,捲りマーク,1=3  200円(3)  1=5  510円(7)  3=5  150円(1) / 1=3  200円(3)  1=5  510円(7)  3=5  150円(1),○,5.0,0.0,11.1,11.1,0.0,0.0,
2220260307020001,maebashi,2026-03-08,1,×4 △1 ◎7 ○3 注5 ▲2,3-5  260円(1),"3-5-1  1,730円(6)",1=3=5  680円(3),6,岡嵜 浩一,神奈川,57,69,A3,追,3.92,64.45,5,9.9,,３/４車身,ライン任せ,1=3  200円(3)  1=5  510円(7)  3=5  150円(1) / 1=3  200円(3)  1=5  510円(7)  3=5  150円(1),▲,3.0,0.0,0.0,18.1,0.0,0.0,
2220260307020001,maebashi,2026-03-08,1,×4 △1 ◎7 ○3 注5 ▲2,3-5  260円(1),"3-5-1  1,730円(6)",1=3=5  680円(3),7,梶應 弘樹  愛,媛,60,57,A3,追,3.92,66.3,7,12.6,,大差,道中千切れ,1=3  200円(3)  1=5  510円(7)  3=5  150円(1) / 1=3  200円(3)  1=5  510円(7)  3=5  150円(1),,0.0,0.0,0.0,0.0,0.0,0.0,
2220260307020002,maebashi,2026-03-08,2,◎1 ○5 △4 ▲6 注3 ×7,"1-6  6,460円(10)","1-6-5  36,520円(40)","1=5=6  5,170円(8)",1,野見 泰要  岡,山,43,101,A3,逃,3.93,72.32,1,10.6,逃,,突張り先行,"1=5  100円(1)  1=6  740円(5)  5=6  1,910円(16) / 1=5  100円(1)  1=6  740円(5)  5=6  1,910円(16)",◎,6.0,29.7,51.3,62.1,16.0,1.0,
2220260307020002,maebashi,2026-03-08,2,◎1 ○5 △4 ▲6 注3 ×7,"1-6  6,460円(10)","1-6-5  36,520円(40)","1=5=6  5,170円(8)",2,塚本 諭  福,島,49,85,A3,追,3.85,67.55,5,10.3,,２車身,三浦平不発,"1=5  100円(1)  1=6  740円(5)  5=6  1,910円(16) / 1=5  100円(1)  1=6  740円(5)  5=6  1,910円(16)",×,1.0,0.0,7.4,25.9,0.0,0.0,
2220260307020002,maebashi,2026-03-08,2,◎1 ○5 △4 ▲6 注3 ×7,"1-6  6,460円(10)","1-6-5  36,520円(40)","1=5=6  5,170円(8)",3,梶原 亜湖  静,岡,55,73,A3,追,3.85,65.34,6,10.7,,４車身,最後捲上げ,"1=5  100円(1)  1=6  740円(5)  5=6  1,910円(16) / 1=5  100円(1)  1=6  740円(5)  5=6  1,910円(16)",▲,3.0,0.0,0.0,11.5,0.0,0.0,
