race_id,venue_slug,date,race_no,lineup,payout,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
1320230101010001,iwakitaira,2023-01-01,1,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ◎1 ○3 ▲6 △5 ×2 注4,,1,菊池 翔  福,島,28,119,A1,逃,3.92,88.23,nan,nan,,,
1320230101010001,iwakitaira,2023-01-01,1,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ◎1 ○3 ▲6 △5 ×2 注4,,2,佐山 俊樹  埼,玉,32,97,A1,両,3.92,86.39,nan,nan,,,
1320230101010001,iwakitaira,2023-01-01,1,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ◎1 ○3 ▲6 △5 ×2 注4,,3,及川 裕奨  岩,手,41,86,A2,両,3.85,85.88,nan,nan,,,
1320230101010001,iwakitaira,2023-01-01,1,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ◎1 ○3 ▲6 △5 ×2 注4,,4,瀧野 勝太  群,馬,36,92,A2,追,3.92,82.70,nan,nan,,,
1320230101010001,iwakitaira,2023-01-01,1,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ◎1 ○3 ▲6 △5 ×2 注4,,5,鈴木 雄一朗  東,京,38,94,A1,逃,3.93,85.66,nan,nan,,,
1320230101010001,iwakitaira,2023-01-01,1,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ◎1 ○3 ▲6 △5 ×2 注4,,6,柴田 健,神奈川,52,71,A2,追,3.92,81.66,nan,nan,,,
1320230101010002,iwakitaira,2023-01-01,2,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ○5 ◎1 △4 ×3 注2 ▲6,,1,遠藤 勝行  静,岡,48,73,A1,追,3.92,88.90,nan,nan,,,
1320230101010002,iwakitaira,2023-01-01,2,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ○5 ◎1 △4 ×3 注2 ▲6,,2,石川 恭規  福,島,45,93,A2,追,3.92,84.77,nan,nan,,,
1320230101010002,iwakitaira,2023-01-01,2,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ○5 ◎1 △4 ×3 注2 ▲6,,3,緑川 修平  福,島,39,95,A1,逃,3.93,85.19,nan,nan,,,
1320230101010002,iwakitaira,2023-01-01,2,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ○5 ◎1 △4 ×3 注2 ▲6,,4,石川 英昭  静,岡,51,75,A2,追,3.92,83.81,nan,nan,,,
1320230101010002,iwakitaira,2023-01-01,2,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ○5 ◎1 △4 ×3 注2 ▲6,,5,石田 拓真  愛,知,21,119,A2,逃,3.85,87.33,nan,nan,,,
1320230101010002,iwakitaira,2023-01-01,2,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ○5 ◎1 △4 ×3 注2 ▲6,,6,玉木 英典,北海道,37,95,A2,追,3.92,70.26,nan,nan,,,
1320230101010003,iwakitaira,2023-01-01,3,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 注6 ◎1 ○2 ▲7 △4 ×5,,1,乾 庄平  滋,賀,36,95,A2,追,3.92,85.53,nan,nan,,,
1320230101010003,iwakitaira,2023-01-01,3,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 注6 ◎1 ○2 ▲7 △4 ×5,,2,土田 武志  茨,城,23,115,A2,逃,3.92,88.04,nan,nan,,,
1320230101010003,iwakitaira,2023-01-01,3,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 注6 ◎1 ○2 ▲7 △4 ×5,,3,赤塚 悠人  山,形,36,97,A2,両,3.92,83.65,nan,nan,,,
1320230101010003,iwakitaira,2023-01-01,3,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 注6 ◎1 ○2 ▲7 △4 ×5,,4,渡邊 恭典  栃,木,49,75,A2,追,3.85,82.25,nan,nan,,,
1320230101010003,iwakitaira,2023-01-01,3,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 注6 ◎1 ○2 ▲7 △4 ×5,,5,荻原 寿嗣,北海道,28,119,A2,逃,3.85,82.92,nan,nan,,,
1320230101010003,iwakitaira,2023-01-01,3,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 注6 ◎1 ○2 ▲7 △4 ×5,,6,中村 泰輔,和歌山,29,117,A2,逃,3.92,81.05,nan,nan,,,
1320230101010003,iwakitaira,2023-01-01,3,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 注6 ◎1 ○2 ▲7 △4 ×5,,7,鈴木 龍之介  栃,木,44,81,A2,追,3.92,84.00,nan,nan,,,
1320230101010004,iwakitaira,2023-01-01,4,予 想 ・ 周 回 ・ 戦 法予 想 ・ 周 回 ・ 戦 法 ◎1 ○7 ▲4 注3 △2 ×6,,1,五十嵐 綾  福,島,22,121,A2,逃,3.85,90.04,nan,nan,,,
