race_id,venue_slug,date,race_no,lineup,ni_sha_tan,san_ren_tan,san_ren_fuku,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,rank,agari,finish_type,margin,win_lose
1120230830030001,hakodate,2023-08-30,1,×7 ◎2 ○1 注4 △3 ▲5,1-7  930円(6),"1-7-4  3,990円(9)","1=4=7  1,390円(3)",1,山田 武  群,馬,46,87,A3,追,3.93,72.14,1,11.8,差,nan,nan
1120230830030001,hakodate,2023-08-30,1,×7 ◎2 ○1 注4 △3 ▲5,1-7  930円(6),"1-7-4  3,990円(9)","1=4=7  1,390円(3)",2,井上 将志  大,阪,47,86,A3,追,3.92,71.46,失,nan,nan,nan,nan
1120230830030001,hakodate,2023-08-30,1,×7 ◎2 ○1 注4 △3 ▲5,1-7  930円(6),"1-7-4  3,990円(9)","1=4=7  1,390円(3)",3,渡辺 馨,神奈川,39,96,A3,両,3.93,70.68,欠,nan,nan,nan,nan
1120230830030001,hakodate,2023-08-30,1,×7 ◎2 ○1 注4 △3 ▲5,1-7  930円(6),"1-7-4  3,990円(9)","1=4=7  1,390円(3)",4,乙川 高徳  東,京,53,65,A3,追,3.93,69.96,3,12.2,nan,５車身,nan
1120230830030001,hakodate,2023-08-30,1,×7 ◎2 ○1 注4 △3 ▲5,1-7  930円(6),"1-7-4  3,990円(9)","1=4=7  1,390円(3)",5,山城 光央  静,岡,54,64,A3,追,3.92,68.87,故,nan,nan,nan,nan
1120230830030001,hakodate,2023-08-30,1,×7 ◎2 ○1 注4 △3 ▲5,1-7  930円(6),"1-7-4  3,990円(9)","1=4=7  1,390円(3)",6,高橋 潤  岩,手,38,96,A3,追,3.92,66.23,4,12.8,nan,３車身,nan
1120230830030001,hakodate,2023-08-30,1,×7 ◎2 ○1 注4 △3 ▲5,1-7  930円(6),"1-7-4  3,990円(9)","1=4=7  1,390円(3)",7,大知 正和  三,重,43,96,A3,両,3.92,66.20,2,12.2,逃,１/２車輪,nan
1120230830030002,hakodate,2023-08-30,2,○2 ◎1 ×4 ▲6 △3 注5,2-1  240円(2),"2-1-5  3,270円(8)","1=2=5  1,200円(3)",1,佐藤 正吾  宮,城,40,88,A3,追,3.92,74.17,2,11.9,ク,微差,nan
1120230830030002,hakodate,2023-08-30,2,○2 ◎1 ×4 ▲6 △3 注5,2-1  240円(2),"2-1-5  3,270円(8)","1=2=5  1,200円(3)",2,須永 勝太  福,島,32,98,A3,逃,3.92,73.00,1,12.1,逃,nan,nan
1120230830030002,hakodate,2023-08-30,2,○2 ◎1 ×4 ▲6 △3 注5,2-1  240円(2),"2-1-5  3,270円(8)","1=2=5  1,200円(3)",3,橋本 大祐  岐,阜,46,80,A3,追,3.92,72.86,5,11.9,nan,１/２車輪,nan
